"orderID","customerID","employeeID","orderDate","requiredDate","shippedDate","shipVia","freight","shipName","shipAddress","shipCity","shipRegion","shipPostalCode","shipCountry"
"10283","LILAS","3","35293","35321","35300","3","84.81","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10284","LEHMS","4","35296","35324","35304","1","76.56","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"10285","QUICK","1","35297","35325","35303","2","76.83","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10286","QUICK","8","35298","35326","35307","3","229.24","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10287","RICAR","8","35299","35327","35305","3","12.76","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"10288","REGGC","4","35300","35328","35311","1","7.45","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy"
"10289","BSBEV","7","35303","35331","35305","3","22.77","B's Beverages","Fauntleroy Circus","London","","EC2 5NT","UK"
"10290","COMMI","8","35304","35332","35311","1","79.7","Comércio Mineiro","Av. dos Lusíadas, 23","São Paulo","SP","05432-043","Brazil"
"10291","QUEDE","6","35304","35332","35312","2","6.4","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"10292","TRADH","1","35305","35333","35310","2","1.35","Tradição Hipermercados","Av. Inês de Castro, 414","São Paulo","SP","05634-030","Brazil"
"10293","TORTU","1","35306","35334","35319","3","21.18","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"10294","RATTC","4","35307","35335","35313","2","147.26","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10295","VINET","2","35310","35338","35318","2","1.15","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","","51100","France"
"10296","LILAS","6","35311","35339","35319","1","0.12","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10297","BLONP","5","35312","35354","35318","2","5.74","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10298","HUNGO","6","35313","35341","35319","2","168.22","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"10299","RICAR","4","35314","35342","35321","2","29.76","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"10300","MAGAA","2","35317","35345","35326","2","17.68","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy"
"10301","WANDK","8","35317","35345","35325","2","45.08","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"10302","SUPRD","4","35318","35346","35347","2","6.27","Suprêmes délices","Boulevard Tirou, 255","Charleroi","","B-6000","Belgium"
"10303","GODOS","7","35319","35347","35326","2","107.83","Godos Cocina Típica","C/ Romero, 33","Sevilla","","41101","Spain"
"10304","TORTU","1","35320","35348","35325","2","63.79","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"10305","OLDWO","8","35321","35349","35347","3","257.62","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
"10306","ROMEY","1","35324","35352","35331","3","7.56","Romero y tomillo","Gran Vía, 1","Madrid","","28001","Spain"
"10307","LONEP","2","35325","35353","35333","2","0.5600000000000001","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
"10308","ANATR","7","35326","35354","35332","3","1.61","Ana Trujillo Emparedados y helados","Avda. de la Constitución 2222","México D.F.","","05021","Mexico"
"10309","HUNGO","3","35327","35355","35361","1","47.3","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"10310","THEBI","8","35328","35356","35335","2","17.52","The Big Cheese","89 Jefferson Way_x000D_
Suite 2","Portland","OR","97201","USA"
"10311","DUMON","1","35328","35342","35334","3","24.69","Du monde entier","67, rue des Cinquante Otages","Nantes","","44000","France"
"10312","WANDK","2","35331","35359","35341","2","40.26","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"10313","QUICK","2","35332","35360","35342","2","1.96","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10314","RATTC","1","35333","35361","35342","2","74.16","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10315","ISLAT","4","35334","35362","35341","2","41.76","Island Trading","Garden House_x000D_
Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"10316","RATTC","1","35335","35363","35346","3","150.15","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10317","LONEP","6","35338","35366","35348","1","12.69","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Portland","OR","97219","USA"
"10318","ISLAT","8","35339","35367","35342","2","4.73","Island Trading","Garden House_x000D_
Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"10319","TORTU","7","35340","35368","35349","3","64.5","Tortuga Restaurante","Avda. Azteca 123","México D.F.","","05033","Mexico"
"10320","WARTH","5","35341","35355","35356","3","34.57","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10321","ISLAT","3","35341","35369","35349","2","3.43","Island Trading","Garden House_x000D_
Crowther Way","Cowes","Isle of Wight","PO31 7PJ","UK"
"10322","PERIC","7","35342","35370","35361","3","0.4","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","05033","Mexico"
"10323","KOENE","4","35345","35373","35352","1","4.88","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"10324","SAVEA","9","35346","35374","35348","1","214.27","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"10325","KOENE","1","35347","35361","35352","3","64.86","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"10326","BOLID","4","35348","35376","35352","2","77.92","Bólido Comidas preparadas","C/ Araquil, 67","Madrid","","28023","Spain"
"10327","FOLKO","2","35349","35377","35352","1","63.36","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"10328","FURIB","4","35352","35380","35355","3","87.03","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10329","SPLIR","4","35353","35395","35361","2","191.67","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10330","LILAS","3","35354","35382","35366","1","12.75","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10331","BONAP","9","35354","35396","35359","1","10.19","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"10332","MEREP","3","35355","35397","35359","2","52.84","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10333","WARTH","5","35356","35384","35363","3","0.59","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10334","VICTE","8","35359","35387","35366","2","8.56","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10335","HUNGO","7","35360","35388","35362","2","42.11","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"10336","PRINI","7","35361","35389","35363","2","15.51","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"10337","FRANK","4","35362","35390","35367","3","108.26","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"10338","OLDWO","4","35363","35391","35367","3","84.20999999999999","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
"10339","MEREP","2","35366","35394","35373","2","15.66","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10340","BONAP","1","35367","35395","35377","3","166.31","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"10341","SIMOB","7","35367","35395","35374","3","26.78","Simons bistro","Vinbæltet 34","København","","1734","Denmark"
"10342","FRANK","4","35368","35382","35373","2","54.83","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"10343","LEHMS","4","35369","35397","35375","1","110.37","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","","60528","Germany"
"10344","WHITC","4","35370","35398","35374","2","23.29","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA"
"10345","QUICK","2","35373","35401","35380","2","249.06","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10346","RATTC","3","35374","35416","35377","3","142.08","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10347","FAMIA","4","35375","35403","35377","3","3.1","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brazil"
"10348","WANDK","4","35376","35404","35384","2","0.78","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"10349","SPLIR","7","35377","35405","35384","1","8.630000000000001","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10350","LAMAI","6","35380","35408","35402","2","64.19","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10351","ERNSH","1","35380","35408","35389","1","162.33","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10352","FURIB","3","35381","35395","35387","3","1.3","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Lisboa","","1675","Portugal"
"10353","PICCO","7","35382","35410","35394","3","360.63","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria"
"10354","PERIC","8","35383","35411","35389","3","53.8","Pericles Comidas clásicas","Calle Dr. Jorge Cash 321","México D.F.","","05033","Mexico"
"10355","AROUT","6","35384","35412","35389","1","41.95","Around the Horn","Brook Farm_x000D_
Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
"10356","WANDK","6","35387","35415","35396","2","36.71","Die Wandernde Kuh","Adenauerallee 900","Stuttgart","","70563","Germany"
"10357","LILAS","1","35388","35416","35401","3","34.88","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10358","LAMAI","5","35389","35417","35396","1","19.64","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10359","SEVES","5","35390","35418","35395","3","288.43","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","UK"
"10360","BLONP","4","35391","35419","35401","3","131.7","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10361","QUICK","1","35391","35419","35402","2","183.17","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10362","BONAP","3","35394","35422","35397","1","96.04000000000001","Bon app'","12, rue des Bouchers","Marseille","","13008","France"
"10363","DRACD","4","35395","35423","35403","3","30.54","Drachenblut Delikatessen","Walserweg 21","Aachen","","52066","Germany"
"10364","EASTC","1","35395","35437","35403","1","71.97","Eastern Connection","35 King George","London","","WX3 6FW","UK"
"10365","ANTON","3","35396","35424","35401","2","22","Antonio Moreno Taquería","Mataderos  2312","México D.F.","","05023","Mexico"
"10366","GALED","8","35397","35439","35429","2","10.14","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Spain"
"10367","VAFFE","7","35397","35425","35401","3","13.55","Vaffeljernet","Smagsløget 45","Århus","","8200","Denmark"
"10368","ERNSH","2","35398","35426","35401","2","101.95","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10369","SPLIR","8","35401","35429","35408","2","195.68","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10370","CHOPS","6","35402","35430","35426","2","1.17","Chop-suey Chinese","Hauptstr. 31","Bern","","3012","Switzerland"
"10371","LAMAI","1","35402","35430","35423","1","0.45","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10372","QUEEN","5","35403","35431","35408","2","890.78","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brazil"
"10373","HUNGO","4","35404","35432","35410","3","124.12","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"10374","WOLZA","1","35404","35432","35408","3","3.94","Wolski Zajazd","ul. Filtrowa 68","Warszawa","","01-012","Poland"
"10375","HUNGC","3","35405","35433","35408","2","20.12","Hungry Coyote Import Store","City Center Plaza_x000D_
516 Main St.","Elgin","OR","97827","USA"
"10376","MEREP","1","35408","35436","35412","2","20.39","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10377","SEVES","1","35408","35436","35412","3","22.21","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","UK"
"10378","FOLKO","5","35409","35437","35418","3","5.44","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"10379","QUEDE","2","35410","35438","35412","1","45.03","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"10380","HUNGO","8","35411","35439","35446","3","35.03","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"10381","LILAS","3","35411","35439","35412","3","7.99","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Lara","3508","Venezuela"
"10382","ERNSH","4","35412","35440","35415","1","94.77","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10383","AROUT","8","35415","35443","35417","3","34.24","Around the Horn","Brook Farm_x000D_
Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
"10384","BERGS","3","35415","35443","35419","3","168.64","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"10385","SPLIR","1","35416","35444","35422","2","30.96","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10386","FAMIA","9","35417","35431","35424","3","13.99","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brazil"
"10387","SANTG","1","35417","35445","35419","2","93.63","Santé Gourmet","Erling Skakkes gate 78","Stavern","","4110","Norway"
"10388","SEVES","2","35418","35446","35419","1","34.86","Seven Seas Imports","90 Wadhurst Rd.","London","","OX15 4NB","UK"
"10389","BOTTM","4","35419","35447","35423","2","47.42","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10390","ERNSH","6","35422","35450","35425","1","126.38","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10391","DRACD","3","35422","35450","35430","3","5.45","Drachenblut Delikatessen","Walserweg 21","Aachen","","52066","Germany"
"10392","PICCO","2","35423","35451","35431","3","122.46","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria"
"10393","SAVEA","1","35424","35452","35433","3","126.56","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"10394","HUNGC","1","35424","35452","35433","3","30.34","Hungry Coyote Import Store","City Center Plaza_x000D_
516 Main St.","Elgin","OR","97827","USA"
"10395","HILAA","6","35425","35453","35433","1","184.41","HILARIÓN-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela"
"10396","FRANK","1","35426","35440","35436","3","135.35","Frankenversand","Berliner Platz 43","München","","80805","Germany"
"10397","PRINI","5","35426","35454","35432","1","60.26","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"10398","SAVEA","2","35429","35457","35439","3","89.16","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"10399","VAFFE","8","35430","35444","35438","3","27.36","Vaffeljernet","Smagsløget 45","Århus","","8200","Denmark"
"10400","EASTC","1","35431","35459","35446","3","83.93000000000001","Eastern Connection","35 King George","London","","WX3 6FW","UK"
"10401","RATTC","1","35431","35459","35440","1","12.51","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA"
"10402","ERNSH","8","35432","35474","35440","2","67.88","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10403","ERNSH","4","35433","35461","35439","3","73.79000000000001","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10404","MAGAA","2","35433","35461","35438","1","155.97","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","","24100","Italy"
"10405","LINOD","1","35436","35464","35452","1","34.82","LINO-Delicateses","Ave. 5 de Mayo Porlamar","I. de Margarita","Nueva Esparta","4980","Venezuela"
"10406","QUEEN","7","35437","35479","35443","1","108.04","Queen Cozinha","Alameda dos Canàrios, 891","São Paulo","SP","05487-020","Brazil"
"10407","OTTIK","2","35437","35465","35460","2","91.48","Ottilies Käseladen","Mehrheimerstr. 369","Köln","","50739","Germany"
"10408","FOLIG","8","35438","35466","35444","1","11.26","Folies gourmandes","184, chaussée de Tournai","Lille","","59000","France"
"10409","OCEAN","3","35439","35467","35444","1","29.83","Océano Atlántico Ltda.","Ing. Gustavo Moncada 8585_x000D_
Piso 20-A","Buenos Aires","","1010","Argentina"
"10410","BOTTM","3","35440","35468","35445","3","2.4","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10411","BOTTM","9","35440","35468","35451","3","23.65","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10412","WARTH","8","35443","35471","35445","2","3.77","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10413","LAMAI","3","35444","35472","35446","2","95.66","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10414","FAMIA","2","35444","35472","35447","3","21.48","Familia Arquibaldo","Rua Orós, 92","São Paulo","SP","05442-030","Brazil"
"10415","HUNGC","3","35445","35473","35454","1","0.2","Hungry Coyote Import Store","City Center Plaza_x000D_
516 Main St.","Elgin","OR","97827","USA"
"10416","WARTH","8","35446","35474","35457","3","22.72","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10417","SIMOB","4","35446","35474","35458","3","70.29000000000001","Simons bistro","Vinbæltet 34","København","","1734","Denmark"
"10418","QUICK","4","35447","35475","35454","1","17.55","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10419","RICSU","4","35450","35478","35460","2","137.35","Richter Supermarkt","Starenweg 5","Genève","","1204","Switzerland"
"10420","WELLI","3","35451","35479","35457","1","44.12","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil"
"10421","QUEDE","8","35451","35493","35457","1","99.23","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil"
"10422","FRANS","2","35452","35480","35461","1","3.02","Franchi S.p.A.","Via Monte Bianco 34","Torino","","10100","Italy"
"10423","GOURL","6","35453","35467","35485","3","24.5","Gourmet Lanchonetes","Av. Brasil, 442","Campinas","SP","04876-786","Brazil"
"10424","MEREP","7","35453","35481","35457","2","370.61","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10425","LAMAI","6","35454","35482","35475","2","7.93","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10426","GALED","4","35457","35485","35467","1","18.69","Galería del gastronómo","Rambla de Cataluña, 23","Barcelona","","8022","Spain"
"10427","PICCO","4","35457","35485","35492","2","31.29","Piccolo und mehr","Geislweg 14","Salzburg","","5020","Austria"
"10428","REGGC","7","35458","35486","35465","1","11.09","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy"
"10429","HUNGO","3","35459","35501","35468","2","56.63","Hungry Owl All-Night Grocers","8 Johnstown Road","Cork","Co. Cork","","Ireland"
"10430","ERNSH","4","35460","35474","35464","1","458.78","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10431","BOTTM","4","35460","35474","35468","2","44.17","Bottom-Dollar Markets","23 Tsawassen Blvd.","Tsawassen","BC","T2F 8M4","Canada"
"10432","SPLIR","3","35461","35475","35468","2","4.34","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA"
"10433","PRINI","3","35464","35492","35493","3","73.83","Princesa Isabel Vinhos","Estrada da saúde n. 58","Lisboa","","1756","Portugal"
"10434","FOLKO","3","35464","35492","35474","2","17.92","Folk och fä HB","Åkergatan 24","Bräcke","","S-844 67","Sweden"
"10435","CONSH","8","35465","35507","35468","2","9.210000000000001","Consolidated Holdings","Berkeley Gardens_x000D_
12  Brewery","London","","WX1 6LT","UK"
"10436","BLONP","3","35466","35494","35472","2","156.66","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10437","WARTH","8","35466","35494","35473","1","19.97","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10438","TOMSP","3","35467","35495","35475","2","8.24","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Germany"
"10439","MEREP","6","35468","35496","35471","3","4.07","Mère Paillarde","43 rue St. Laurent","Montréal","Québec","H1J 1C3","Canada"
"10440","SAVEA","4","35471","35499","35489","2","86.53","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"10441","OLDWO","3","35471","35513","35503","2","73.02","Old World Delicatessen","2743 Bering St.","Anchorage","AK","99508","USA"
"10442","ERNSH","3","35472","35500","35479","2","47.94","Ernst Handel","Kirchgasse 6","Graz","","8010","Austria"
"10443","REGGC","8","35473","35501","35475","1","13.95","Reggiani Caseifici","Strada Provinciale 124","Reggio Emilia","","42100","Italy"
"10444","BERGS","3","35473","35501","35482","3","3.5","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"10445","BERGS","3","35474","35502","35481","1","9.300000000000001","Berglunds snabbköp","Berguvsvägen  8","Luleå","","S-958 22","Sweden"
"10446","TOMSP","6","35475","35503","35480","1","14.68","Toms Spezialitäten","Luisenstr. 48","Münster","","44087","Germany"
"10447","RICAR","4","35475","35503","35496","2","68.66","Ricardo Adocicados","Av. Copacabana, 267","Rio de Janeiro","RJ","02389-890","Brazil"
"10448","RANCH","4","35478","35506","35485","2","38.82","Rancho grande","Av. del Libertador 900","Buenos Aires","","1010","Argentina"
"10449","BLONP","3","35479","35507","35488","2","53.3","Blondel père et fils","24, place Kléber","Strasbourg","","67000","France"
"10450","VICTE","8","35480","35508","35500","2","7.23","Victuailles en stock","2, rue du Commerce","Lyon","","69004","France"
"10451","QUICK","4","35480","35494","35501","3","189.09","QUICK-Stop","Taucherstraße 10","Cunewalde","","01307","Germany"
"10452","SAVEA","8","35481","35509","35487","1","140.26","Save-a-lot Markets","187 Suffolk Ln.","Boise","ID","83720","USA"
"10453","AROUT","1","35482","35510","35487","2","25.36","Around the Horn","Brook Farm_x000D_
Stratford St. Mary","Colchester","Essex","CO7 6JX","UK"
"10454","LAMAI","4","35482","35510","35486","3","2.74","La maison d'Asie","1 rue Alsace-Lorraine","Toulouse","","31000","France"
"10455","WARTH","8","35485","35527","35492","2","180.45","Wartian Herkku","Torikatu 38","Oulu","","90110","Finland"
"10456","KOENE","8","35486","35528","35489","2","8.119999999999999","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
"10457","KOENE","2","35486","35514","35492","1","11.57","Königlich Essen","Maubelstr. 90","Brandenburg","","14776","Germany"
